permission_name,manifest_path,manifest_type,permissionGroup,protectionLevel,permissionFlags
android.permission.CAMERA_DISABLE_TRANSMIT_LED,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.CAMERA,signature|system,
android.permission.PROCESS_OUTGOING_CALLS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,dangerous,
android.permission.MODIFY_PHONE_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,signature|system,
android.permission.READ_PHONE_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,dangerous,
android.permission.READ_PRECISE_PHONE_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,signature|system,
android.permission.READ_PRIVILEGED_PHONE_STATE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,signature|system,
android.permission.CALL_PHONE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,dangerous,costsMoney
android.permission.USE_SIP,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,dangerous,
android.permission.REGISTER_SIM_SUBSCRIPTION,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,system|signature,
android.permission.REGISTER_CALL_PROVIDER,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,system|signature,
android.permission.REGISTER_CONNECTION_MANAGER,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,system|signature,
android.permission.BIND_INCALL_SERVICE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,system|signature,
android.permission.BIND_CONNECTION_SERVICE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,system|signature,
android.permission.CONTROL_INCALL_EXPERIENCE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.PHONE_CALLS,system|signature,
android.permission.READ_EXTERNAL_STORAGE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.STORAGE,normal,
android.permission.WRITE_EXTERNAL_STORAGE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.STORAGE,dangerous,
android.permission.WRITE_MEDIA_STORAGE,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.STORAGE,signature|system,
android.permission.MANAGE_DOCUMENTS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.STORAGE,signature,
android.permission.DISABLE_KEYGUARD,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SCREENLOCK,dangerous,
android.permission.GET_TASKS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.APP_INFO,normal,
android.permission.REAL_GET_TASKS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.APP_INFO,signature|system,
android.permission.START_TASKS_FROM_RECENTS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature|system,
android.permission.INTERACT_ACROSS_USERS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature|system|development,
android.permission.INTERACT_ACROSS_USERS_FULL,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.MANAGE_USERS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature|system,
android.permission.GET_DETAILED_TASKS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.SYSTEM_TOOLS,signature,
android.permission.REORDER_TASKS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.APP_INFO,normal,
android.permission.REMOVE_TASKS,frameworks/base/core/res/AndroidManifest.xml,core,android.permission-group.APP_INFO,signature,
