##########################################################
Permission changes from API version 22 to 23
##########################################################
ADDED:
	PERMISSION:                         android.permission.RECEIVE_BLUETOOTH_MAP    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                         android.permission.CAPTURE_AUDIO_HOTWORD    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                               android.permission.MANAGE_ACCOUNTS    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                            android.permission.CARRIER_FILTER_SMS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                              android.permission.BIND_REMOTEVIEWS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                          android.permission.ACCESS_MOCK_LOCATION    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:         signature
	PERMISSION:                      android.permission.READ_PRECISE_PHONE_STATE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                          android.permission.ACCESS_NOTIFICATIONS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                     android.permission.WRITE_SMS    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                               android.permission.DELETE_PACKAGES    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                    android.permission.STATUS_BAR    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                        android.permission.MANAGE_ACTIVITY_STACKS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
